source_id,fce,id,county
,,N8262,OAKLAND
,,P0586,OAKLAND
,,N6434,OAKLAND
,,N3023,OAKLAND
,,A4744,OAKLAND
,,P0367,OAKLAND
,,A5159,OAKLAND
,,P0609,OAKLAND
,,N7153,OAKLAND
,,N7318,OAKLAND
,,N2038,OAKLAND
,,K2800,OAKLAND
,,P0560,OAKLAND
,,G5059,OAKLAND
,,N5753,OAKLAND
,,P0932,OAKLAND
,,P0424,OAKLAND
,,P0498,SAINT CLAIR
,,P0233,OAKLAND
,,N6622,OAKLAND
,,N7889,OAKLAND
,,P1145,OAKLAND
,,N8251,OAKLAND
,,N2781,SAINT CLAIR
,,N3842,SAINT CLAIR
,,N6984,SAINT CLAIR
,,P1199,MACOMB
,,N7528,SAINT CLAIR
,,N0465,MACOMB
,,N7553,MACOMB
,,P0996,MACOMB
,,N8014,OAKLAND
,,P0243,OAKLAND
,,N1927,OAKLAND
,,N2460,OAKLAND
,,P0824,WAYNE
,,N2830,OAKLAND
,,N6623,OAKLAND
,,N2440,OAKLAND
,,N2785,OAKLAND
,,N7646,OAKLAND
,,N5637,OAKLAND
,,N5749,OAKLAND
,,N7417,MACOMB
,,N6823,GENESEE
,,P0289,MACOMB
,,A3301,MACOMB
,,A4750,MACOMB
,,B6660,MACOMB
,,B7162,MACOMB
,,B8693,MACOMB
,,N7787,MACOMB
,,B6177,MACOMB
,,P1146,BAY
,,B5657,MACOMB
,,P0790,MACOMB
,,N1331,MACOMB
,,B6569,MACOMB
,,P0413,MACOMB
,,B7800,MACOMB
,,N7861,MACOMB
,,N3644,MACOMB
,,M3526,MACOMB
,,N7248,MACOMB
,,N8044,MACOMB
,,P0994,MACOMB
,,N0503,OAKLAND
,,N2528,OAKLAND
,,M3429,OAKLAND
,,N3987,OAKLAND
,,B2956,WAYNE
,,N6514,WASHTENAW
,,P0343,WASHTENAW
,,N5437,WASHTENAW
,,B8874,WASHTENAW
,,N6926,WASHTENAW
,,P0373,WASHTENAW
,,P0218,WASHTENAW
,,N7841,WASHTENAW
,,N8278,WASHTENAW
,,B2060,WASHTENAW
,,P0116,WASHTENAW
,,M3653,WASHTENAW
,,M3749,WAYNE
,,B8994,WAYNE
,,N7644,WASHTENAW
,,B3101,WAYNE
,,P0379,WAYNE
,,N8335,LIVINGSTON
,,P1103,LIVINGSTON
,,N2311,LIVINGSTON
,,P0821,LIVINGSTON
,,B8642,LIVINGSTON
,,N6932,LIVINGSTON
,,P0552,MONROE
,,N7340,WAYNE
,,B3534,WAYNE
,,P0460,WAYNE
,,B5434,WAYNE
,,N7641,WAYNE
,,M3754,WAYNE
,,B4734,WAYNE
,,N8024,WAYNE
,,N8080,WAYNE
,,P0207,WAYNE
,,M4260,WAYNE
,,B9080,WAYNE
,,N8026,WAYNE
,,M4798,WAYNE
,,P0487,WAYNE
,,N1119,WASHTENAW
,,N1793,WASHTENAW
,,P1165,WAYNE
,,P1189,MONROE
,,P1197,MONROE
,,N5436,MONROE
,,N6283,MONROE
,,N6045,MONROE
,,N6665,MONROE
,,P1174,MONROE
,,P0656,MONROE
,,P1018,MONROE
,,P0635,MONROE
,,P1151,MONROE
,,B7006,MONROE
,,F5756,MONROE
,,K7643,WAYNE
,,N8235,WAYNE
,,P0097,MACOMB
,,N7314,WAYNE
,,B3234,WAYNE
,,N8238,MONROE
,,N7214,MONROE
,,N8033,WAYNE
,,P0576,WAYNE
,,N7880,WAYNE
,,N7257,WAYNE
,,M4313,WAYNE
,,P0638,WAYNE
,,P1210,WAYNE
,,H9647,WAYNE
,,M4209,WAYNE
,,B4626,WAYNE
,,B5826,WAYNE
,,N8090,WAYNE
,,B3316,WAYNE
